produccion_gas_natural_total,produccion_gas,cuenca_produccion_gas_natural_cuenca_austral,cuenca_produccion_gas_natural_cuenca_cuyana,cuenca_produccion_gas_natural_cuenca_gsj,cuenca_produccion_gas_natural_cuenca_neuquina,cuenca_produccion_gas_natural_cuenca_noroeste
3719851.8787,461995.8479,0,0,1,0,0
3863078.6613,479336.0092,0,0,1,0,0
3637056.0731,467064.464,0,0,1,0,0
3764330.6639,472257.376,0,0,1,0,0
3815996.8983,470574.11,0,0,1,0,0
3273889.2438,425334.8075,0,0,1,0,0
3788823.2969,462853.2439,0,0,1,0,0
3698604.1467,431358.4495,0,0,1,0,0
3785410.7631,461300.198,0,0,1,0,0
3668775.516,436311.5726,0,0,1,0,0
3825200.1362,446867.7969,0,0,1,0,0
3838502.1784,451705.0943,0,0,1,0,0
3727261.1906,440807.2837,0,0,1,0,0
3847171.183,450368.1072,0,0,1,0,0
3556408.6461,428210.8212,0,0,1,0,0
3794734.1028,442569.4077,0,0,1,0,0
3845395.7151,440588.2678,0,0,1,0,0
3495493.4303,389427.0396,0,0,1,0,0
3901910.4606,433756.9364,0,0,1,0,0
3877470.2839,414539.0269,0,0,1,0,0
3945485.4795,413614.2879,0,0,1,0,0
3966887.6913,398422.3161,0,0,1,0,0
4096363.7705,416507.0979,0,0,1,0,0
4147977.1529,412271.133,0,0,1,0,0
3954011.5223,407643.7906,0,0,1,0,0
4103313.8493,405969.2785,0,0,1,0,0
3696890.7025,402455.8368,0,0,1,0,0
3990367.3806,412907.223,0,0,1,0,0
4000200.0774,406105.475,0,0,1,0,0
3770586.3341,370879.6592,0,0,1,0,0
4014110.5733,412968.0207,0,0,1,0,0
3948838.2895,395673.5707,0,0,1,0,0
4245784.3515,403832.1863,0,0,1,0,0
4199866.064,394972.6274,0,0,1,0,0
4476980.7069,405153.2738,0,0,1,0,0
4477110.1681,400345.7133,0,0,1,0,0
4138301.5574,374980.0948,0,0,1,0,0
4336931.5435,386011.2808,0,0,1,0,0
3809542.8392,364349.1722,0,0,1,0,0
3932837.7832,366061.6708,0,0,1,0,0
4037202.2529,375510.3083,0,0,1,0,0
3703770.4612,341472.3321,0,0,1,0,0
3925264.1268,383108.331,0,0,1,0,0
3502211.748,360124.4994,0,0,1,0,0
3858610.254,358227.891,0,0,1,0,0
3780658.4149,338179.1794,0,0,1,0,0
3931669.5227,338159.8756,0,0,1,0,0
3895558.8723,328542.3918,0,0,1,0,0
3685327.0507,331523.0333,0,0,1,0,0
3778039.7528,340488.0898,0,0,1,0,0
3471571.8164,325383.953,0,0,1,0,0
3529778.4583,336838.4038,0,0,1,0,0
3596174.8071,340298.5271,0,0,1,0,0
3208074.3086,300491.658,0,0,1,0,0
3549947.412,333150.2263,0,0,1,0,0
3426856.0022,321970.7652,0,0,1,0,0
3759604.2808,335318.5516,0,0,1,0,0
3810692.1877,333776.7283,0,0,1,0,0
4052611.6108,342718.6419,0,0,1,0,0
4145491.4139,344045.4915,0,0,1,0,0
3980185.9078,319259.4728,0,0,1,0,0
3944138.1659,324798.5154,0,0,1,0,0
3836347.1643,313641.7632,0,0,1,0,0
3994731.0349,331421.7187,0,0,1,0,0
4028544.1807,331205.7448,0,0,1,0,0
3565161.9573,304404.1618,0,0,1,0,0
3889775.3316,347647.507,0,0,1,0,0
3821227.1886,328296.0694,0,0,1,0,0
4217944.5862,342536.9841,0,0,1,0,0
4185129.4605,337213.7003,0,0,1,0,0
4345850.1304,345512.3378,0,0,1,0,0
4386353.5563,359327.6591,0,0,1,0,0
4082376.3344,339440.6748,0,0,1,0,0
4112656.8386,349387.0147,0,0,1,0,0
3795389.1778,340614.9865,0,0,1,0,0
3991324.9379,352267.5744,0,0,1,0,0
3993062.7062,346443.1341,0,0,1,0,0
3637194.3959,314849.2363,0,0,1,0,0
3993956.2904,345268.8881,0,0,1,0,0
3863129.6105,330040.9038,0,0,1,0,0
4183843.5899,347233.105,0,0,1,0,0
4146160.0109,340376.0596,0,0,1,0,0
4282758.6424,353818.5402,0,0,1,0,0
4476588.5425,352104.1613,0,0,1,0,0
4296508.4938,343925.1659,0,0,1,0,0
3905065.2173,357851.9851,0,0,1,0,0
3789588.641,337056.6725,0,0,1,0,0
3538736.1746,347020.9495,0,0,1,0,0
3837941.8496,342479.7818,0,0,1,0,0
3887661.2613,322065.9309,0,0,1,0,0
4174409.1002,335240.9224,0,0,1,0,0
4084730.3735,319269.5915,0,0,1,0,0
4654371.4233,333597.1345,0,0,1,0,0
4426739.1463,315399.8976,0,0,1,0,0
4709073.5953,312646.0556,0,0,1,0,0
4744011.1561,331390.8932,0,0,1,0,0
4416565.9503,321563.0159,0,0,1,0,0
4128082.1499,330683.5868,0,0,1,0,0
3815327.4009,310780.8096,0,0,1,0,0
3859003.3931,325201.7771,0,0,1,0,0
3540196.8855,1944919.8742,0,0,0,1,0
3191664.5172,1756760.5258,0,0,0,1,0
3477941.0797,1885451.2988,0,0,0,1,0
3256041.4563,1833150.2857,0,0,0,1,0
3543986.5352,1966217.6289,0,0,0,1,0
3434195.7948,1911306.0083,0,0,0,1,0
3574370.843,1992592.5021,0,0,0,1,0
3558880.6232,2008571.8115,0,0,0,1,0
3457725.7426,1945944.6382,0,0,0,1,0
3483535.8517,2000204.1398,0,0,0,1,0
3419441.5123,1948003.0075,0,0,0,1,0
3549082.2995,2023821.0798,0,0,0,1,0
3595411.7676,2032204.2648,0,0,0,1,0
3229384.8153,1846162.3823,0,0,0,1,0
3612215.2068,2073525.4554,0,0,0,1,0
3515652.4708,2007368.6215,0,0,0,1,0
3669759.3102,2094557.7843,0,0,0,1,0
