produccion_gas_natural_cuenca_austral,produccion_gas_natural_cuenca_gsj,produccion_gas_natural_cuenca_neuquina,produccion_gas_natural_cuenca_noroeste,produccion_gas_natural_cuenca_cuyana,produccion_gas_natural_total,produccion_shale_gas,produccion_tight_gas,anio,produccion_no_convencional,produccion_convencional,mes
966355.7637,340298.5271,2148390.0699,137132.0304,3998.416,3596174.8071,831265.7622497,667980.35133,2021,1499246.1135797,2096928.6935202999,1
865759.1604,300491.658,1915575.4731,122620.2359,3627.7812,3208074.3086,742767.765321,593179.292299,2021,1335947.05762,1872127.25098,2
907897.1618,333150.2263,2168624.2193,136338.418,3937.3866,3549947.412,858902.628172,653372.765581,2021,1512275.393753,2037672.018247,3
917513.4,321970.7652,2054049.4353,129400.2777,3922.124,3426856.0022,785797.3849955,637257.99432371,2021,1423055.37931921,2003800.62288079,4
938163.9466,335318.5516,2349842.5102,132197.6934,4081.579,3759604.2808,999974.136535,686788.09742803,2021,1686762.23396303,2072842.04683697,5
885599.2161,333776.7283,2459798.7428,127684.0038,3833.4967,3810692.1877,1153367.3529996,685550.22006722,2021,1838917.5730668202,1971774.61463318,6
924873.0175,342718.6419,2650124.7121,130829.9369,4065.3024,4052611.6108,1276950.769862,742773.13588483,2021,2019723.90574683,2032887.70505317,7
929050.6923,344045.4915,2739016.5171,128942.6926,4436.0204,4145491.4139,1361213.385374,757051.92756474,2021,2118265.31293874,2027226.10096126,8
894057.1344,319259.4728,2638063.4941,124574.007,4231.7995,3980185.9078,1316213.564445,741197.6378938,2021,2057411.2023387998,1922774.7054612003,9
882769.7972,324798.5154,2606388.6022,125859.5956,4321.6555,3944138.1659,1302477.801672,732426.2069275,2021,2034904.0085995,1909234.1573005,10
866394.3406,313641.7632,2530579.6163,121402.8676,4328.5766,3836347.1643,1303716.111395,698058.76927495,2021,2001774.88066995,1834572.2836300498,11
880090.2948,331421.7187,2654057.0987,124704.183,4457.7397,3994731.0349,1343129.589042,743349.80444105,2021,2086479.3934830502,1908251.6414169497,12
868057.74,331205.7448,2702505.9475,122432.7848,4341.9636,4028544.1807,1403263.328567,728462.28831895,2022,2131725.61688595,1896818.56381405,1
792542.824,304404.1618,2353589.2588,110781.0297,3844.683,3565161.9573,1198175.159547,653181.03277402,2022,1851356.19232102,1713805.76497898,2
706361.671,347647.507,2709280.8951,122108.9332,4376.3253,3889775.3316,1420469.187585,729798.18245598,2022,2150267.37004098,1739507.96155902,3
835694.634,328296.0694,2536333.4574,116780.4076,4122.6202,3821227.1886,1340953.425813,688351.04941696,2022,2029304.47522996,1791922.71337004,4
850607.1424,342536.9841,2901156.5447,119258.577,4385.338,4217944.5862,1604712.507348,742181.296846,2022,2346893.804194,1871050.7820059997,5
833943.1501,337213.7003,2895145.2169,114727.7719,4099.6213,4185129.4605,1597287.871736,755410.81163674,2022,2352698.68337274,1832430.7771272599,6
854932.0022,345512.3378,3022541.7557,118741.0721,4122.9626,4345850.1304,1701845.390137,764489.02502403,2022,2466334.41516103,1879515.7152389702,7
862214.3159,359327.6591,3042124.5016,118252.1563,4434.9234,4386353.5563,1726768.027899,776248.02240504,2022,2503016.0503040403,1883337.50599596,8
829624.6011,339440.6748,2794751.1964,114413.047,4146.8151,4082376.3344,1616958.392418,673123.12478993,2022,2290081.51720793,1792294.8171920702,9
844532.6695,349387.0147,2796816.4295,117547.1699,4373.555,4112656.8386,1577797.495051,700158.95846305,2022,2277956.4535140498,1834700.3850859501,10
808157.2392,340614.9865,2529765.3853,112334.8529,4516.7139,3795389.1778,1388999.419319,656161.76369803,2022,2045161.1830170301,1750227.99478297,11
828510.4688,352267.5744,2691048.9661,115288.3233,4209.6053,3991324.9379,1537285.73006,658215.433145,2022,2195501.163205,1795823.7746949997,12
822288.9335,346443.1341,2705023.0841,115027.8483,4279.7062,3993062.7062,1558034.527334,640839.808696,2023,2198874.33603,1794188.37017,1
741077.8852,314849.2363,2474030.2392,103327.9129,3909.1223,3637194.3959,1456498.705479,561332.82322396,2023,2017831.52870296,1619362.86719704,2
